iter	Logloss
0	0.586295763
1	0.5236354401
2	0.4621489073
3	0.4060371245
4	0.380978858
5	0.3552286376
6	0.3419213158
7	0.3199670653
8	0.3140621406
9	0.3059660544
10	0.2903647589
11	0.2818269019
12	0.2754393354
13	0.266465347
14	0.2620469563
15	0.2591970429
16	0.250473036
17	0.2423989192
18	0.2402781896
19	0.2348323725
20	0.2321496453
21	0.2282040273
22	0.2235308213
23	0.2163019782
24	0.2102201839
25	0.2075091664
26	0.2058548417
27	0.2029123414
28	0.1988845324
29	0.1960174681
30	0.1932043198
31	0.1893778904
32	0.1864272717
33	0.1840180601
34	0.1814185466
35	0.1802539595
36	0.1754169292
37	0.1729682257
38	0.1699886968
39	0.1681887214
40	0.1661773112
41	0.1642465273
42	0.1625500924
43	0.1591557351
44	0.1566764637
45	0.1541363353
46	0.1516428102
47	0.1495290525
48	0.1465039738
49	0.1446403216
50	0.1420849479
51	0.1401391357
52	0.1381873121
53	0.1366300984
54	0.132893498
55	0.1307431146
56	0.1287712584
57	0.1277557695
58	0.1259885154
59	0.1246997278
60	0.1214535003
61	0.1193716507
62	0.1175067823
63	0.1151257992
64	0.1133203779
65	0.1121316603
66	0.1103967327
67	0.1092962175
68	0.1079861035
69	0.1057466192
70	0.1047509149
71	0.1018442347
72	0.1010912922
73	0.100316791
74	0.09899735793
75	0.09797347168
76	0.09637131239
77	0.0948067704
78	0.0937344604
79	0.09201454563
80	0.09076976619
81	0.08966211638
82	0.08835300175
83	0.08760725579
84	0.08671956959
85	0.08511207291
86	0.08360594774
87	0.08239849898
88	0.08114002362
89	0.07973294598
90	0.07952049653
91	0.07937438089
92	0.07906025784
93	0.07855159538
94	0.07791111744
95	0.07634211343
96	0.07551942862
97	0.0737930997
98	0.07212860382
99	0.07107062497
