iter	Passed	Remaining
0	23	2296
1	28	1397
2	33	1078
3	38	919
4	44	837
5	49	768
6	54	717
7	58	676
8	63	643
9	68	616
10	73	596
11	79	580
12	84	563
13	90	553
14	95	541
15	101	532
16	106	520
17	111	506
18	116	494
19	121	484
20	126	474
21	130	464
22	136	458
23	143	454
24	148	445
25	153	436
26	158	427
27	162	417
28	167	410
29	172	402
30	177	394
31	181	386
32	186	379
33	191	372
34	196	365
35	202	359
36	207	353
37	211	345
38	216	338
39	220	331
40	225	324
41	229	316
42	233	310
43	238	303
44	242	296
45	247	290
46	251	284
47	256	277
48	260	270
49	265	265
50	269	259
51	273	252
52	277	246
53	282	241
54	287	234
55	291	229
56	296	223
57	301	218
58	305	212
59	309	206
60	314	201
61	319	195
62	323	189
63	327	184
64	332	178
65	337	173
66	342	168
67	347	163
68	351	157
69	354	152
70	358	146
71	362	141
72	366	135
73	370	130
74	374	124
75	378	119
76	382	114
77	388	109
78	392	104
79	397	99
80	400	94
81	405	89
82	411	84
83	415	79
84	420	74
85	424	69
86	429	64
87	433	59
88	438	54
89	443	49
90	448	44
91	452	39
92	456	34
93	461	29
94	466	24
95	470	19
96	475	14
97	480	9
98	485	4
99	489	0
